,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Ordinary Shares Number,454396092.0,454364799.0,455566995.0,459244995.0,461600215.0,
Share Issued,454396092.0,454364799.0,455566995.0,459244995.0,461600215.0,
Net Debt,12115000000.0,12586000000.0,11178000000.0,12548000000.0,11797000000.0,
Total Debt,19970000000.0,19037000000.0,19875000000.0,19399000000.0,18738000000.0,
Tangible Book Value,15420000000.0,14947000000.0,14035000000.0,14489000000.0,14429000000.0,
Invested Capital,31876000000.0,30420000000.0,30606000000.0,30470000000.0,29723000000.0,
Working Capital,-189000000.0,-1232000000.0,-1345000000.0,-1238000000.0,-2066000000.0,
Net Tangible Assets,15420000000.0,14947000000.0,14035000000.0,14489000000.0,14429000000.0,
Capital Lease Obligations,3514000000.0,3564000000.0,3935000000.0,3418000000.0,3444000000.0,
Common Stock Equity,15420000000.0,14947000000.0,14666000000.0,14489000000.0,14429000000.0,
Total Capitalization,30740000000.0,29281000000.0,28970000000.0,28835000000.0,28083000000.0,
Total Equity Gross Minority Interest,15420000000.0,14947000000.0,14666000000.0,14489000000.0,14429000000.0,
Stockholders Equity,15420000000.0,14947000000.0,14666000000.0,14489000000.0,14429000000.0,
Gains Losses Not Affecting Retained Earnings,-468000000.0,-462000000.0,-458000000.0,-474000000.0,-470000000.0,
Other Equity Adjustments,-468000000.0,-462000000.0,-458000000.0,-474000000.0,-470000000.0,
Retained Earnings,8766000000.0,8360000000.0,8090000000.0,8009000000.0,8030000000.0,
Additional Paid In Capital,7084000000.0,7011000000.0,6996000000.0,6916000000.0,6831000000.0,
Capital Stock,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,
Common Stock,38000000.0,38000000.0,38000000.0,38000000.0,38000000.0,
Total Liabilities Net Minority Interest,42431000000.0,41238000000.0,43103000000.0,44042000000.0,41566000000.0,
Total Non Current Liabilities Net Minority Interest,23208000000.0,22247000000.0,22304000000.0,22250000000.0,21582000000.0,
Other Non Current Liabilities,1961000000.0,2011000000.0,169000000.0,2067000000.0,1989000000.0,
Employee Benefits,,,592000000.0,,,
Non Current Pension And Other Postretirement Benefit Plans,,,31000000.0,,,
Tradeand Other Payables Non Current,,,338000000.0,,,
Non Current Deferred Liabilities,2413000000.0,2338000000.0,3319000000.0,2419000000.0,2495000000.0,
Non Current Deferred Revenue,,,388000000.0,,,
Non Current Deferred Taxes Liabilities,2413000000.0,2338000000.0,2303000000.0,2419000000.0,2495000000.0,
Long Term Debt And Capital Lease Obligation,18834000000.0,17898000000.0,17886000000.0,17764000000.0,17098000000.0,
Long Term Capital Lease Obligation,3514000000.0,3564000000.0,3582000000.0,3418000000.0,3444000000.0,
Long Term Debt,15320000000.0,14334000000.0,14304000000.0,14346000000.0,13654000000.0,
Current Liabilities,19223000000.0,18991000000.0,20799000000.0,21792000000.0,19984000000.0,
Other Current Liabilities,,,1062000000.0,,,
Current Deferred Liabilities,,,1209000000.0,,,
Current Deferred Revenue,,,1209000000.0,,,
