,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Free Cash Flow,1009000000.0,-515000000.0,2366000000.0,84000000.0,1599000000.0,
Repurchase Of Capital Stock,-8000000.0,-250000000.0,-501000000.0,-351000000.0,-155000000.0,
Repayment Of Debt,-37000000.0,-1534000000.0,-27000000.0,-36000000.0,-1044000000.0,
Issuance Of Debt,993000000.0,991000000.0,0.0,741000000.0,0.0,
Capital Expenditure,-1074000000.0,-790000000.0,-923000000.0,-655000000.0,-639000000.0,
End Cash Position,4341000000.0,2887000000.0,4762000000.0,3433000000.0,3497000000.0,
Beginning Cash Position,2887000000.0,4762000000.0,3433000000.0,3497000000.0,3604000000.0,
Changes In Cash,1454000000.0,-1875000000.0,1329000000.0,-64000000.0,-107000000.0,
Financing Cash Flow,437000000.0,-1363000000.0,-1042000000.0,-166000000.0,-1711000000.0,
Cash Flow From Continuing Financing Activities,437000000.0,-1363000000.0,-1042000000.0,-166000000.0,-1711000000.0,
Net Other Financing Charges,-2000000.0,-60000000.0,-1000000.0,-4000000.0,-3000000.0,
Cash Dividends Paid,-509000000.0,-510000000.0,-513000000.0,-516000000.0,-509000000.0,
Common Stock Dividend Paid,-509000000.0,-510000000.0,-513000000.0,-516000000.0,-509000000.0,
Net Common Stock Issuance,-8000000.0,-250000000.0,-501000000.0,-351000000.0,-155000000.0,
Common Stock Payments,-8000000.0,-250000000.0,-501000000.0,-351000000.0,-155000000.0,
Net Issuance Payments Of Debt,956000000.0,-543000000.0,-27000000.0,705000000.0,-1044000000.0,
Net Short Term Debt Issuance,,,,,,0.0
Net Long Term Debt Issuance,956000000.0,-543000000.0,-27000000.0,705000000.0,-1044000000.0,
Long Term Debt Payments,-37000000.0,-1534000000.0,-27000000.0,-36000000.0,-1044000000.0,
Long Term Debt Issuance,993000000.0,991000000.0,0.0,741000000.0,0.0,
Investing Cash Flow,-1066000000.0,-787000000.0,-918000000.0,-637000000.0,-634000000.0,
Cash Flow From Continuing Investing Activities,-1066000000.0,-787000000.0,-918000000.0,-637000000.0,-634000000.0,
Net Other Investing Changes,8000000.0,3000000.0,,,5000000.0,3000000.0
Net Investment Purchase And Sale,,,4000000.0,18000000.0,4000000.0,2000000.0
Net PPE Purchase And Sale,,,1000000.0,0.0,1000000.0,1000000.0
Sale Of PPE,,,1000000.0,0.0,1000000.0,1000000.0
Capital Expenditure Reported,-1074000000.0,-790000000.0,-923000000.0,-655000000.0,-639000000.0,
Operating Cash Flow,2083000000.0,275000000.0,3289000000.0,739000000.0,2238000000.0,
Cash Flow From Continuing Operating Activities,2083000000.0,275000000.0,3289000000.0,739000000.0,2238000000.0,
Change In Working Capital,232000000.0,-1649000000.0,1440000000.0,-852000000.0,221000000.0,
Change In Other Current Assets,5000000.0,146000000.0,-43000000.0,-212000000.0,-96000000.0,
Change In Payables And Accrued Expense,60000000.0,-1487000000.0,-942000000.0,1921000000.0,1191000000.0,
Change In Accrued Expense,-159000000.0,-143000000.0,412000000.0,81000000.0,145000000.0,
Change In Payable,219000000.0,-1344000000.0,-1354000000.0,1840000000.0,1046000000.0,
Change In Account Payable,219000000.0,-1344000000.0,-1354000000.0,1840000000.0,1046000000.0,
Change In Inventory,167000000.0,-308000000.0,2425000000.0,-2561000000.0,-874000000.0,
Other Non Cash Items,5000000.0,-4000000.0,27000000.0,-23000000.0,53000000.0,
Stock Based Compensation,64000000.0,69000000.0,75000000.0,80000000.0,77000000.0,
Deferred Tax,76000000.0,36000000.0,-122000000.0,-74000000.0,-48000000.0,
Deferred Income Tax,76000000.0,36000000.0,-122000000.0,-74000000.0,-48000000.0,
Depreciation Amortization Depletion,771000000.0,787000000.0,766000000.0,754000000.0,743000000.0,
Depreciation And Amortization,771000000.0,787000000.0,766000000.0,754000000.0,743000000.0,
Net Income From Continuing Operations,935000000.0,1036000000.0,1103000000.0,854000000.0,1192000000.0,
